etp_id,desc,citation,editor,type,location,from,to,text,notes,bibliography
ETP 11,slab (stone),SE 69 (2003) REE 9 (tav. XXIII),Mario Cygielman,Other/Unclear Texts,Vetulonia,-300,-200,"[ - - - ]nes funa heχze
    [ - - - ]σis
    [ - - - ]ke","The editor reads the second word of line one as <b>θuna</b>, with initial <i>theta</i>, but the top portion of the letter <b>f</b> appears in the photograph, and is actually sketched out in the drawing published in SE.",
ETP 12,oinochoe (ceramic),SE 69 (2003) REE 12 (tav. XXIV),Paolo Bruschetti - Adriano Maggiani,Didaskalia,Ager Volsiniensis (Parrano),-700,-480,[a]χmemnun,The inscription was incised on the torso of a figure seated on a stool.,
ETP 13,wall of tomb (tufa),SE 69 (2003) REE 13,Giovanni Colonna,Funerary Texts,Ager Volcentanus (Poggio Buco),-480,50,"aspaσ [<i>vacat</i>] ⅩⅬ 
    θ",The text appears to be a funerary inscription. The editor suggests the following interpretation: <b>σ(e)θ(re) aspa ⅩⅬ</b>.,
ETP 14,fragment of sarcophagus (nenfro),SE 69 (2003) REE 18 (tav. XXIV),Daniele Maras,Funerary Texts,Ager Tarquiniensis (Cencelle),-480,50,"[ - - - ]elcial c[lan]
    [ - - - avils - - -]em ceal[χls]",The editor suggests that the feminine gentilicium in line 1 can be restored as <b>[v]elcial</b> or as <b>[f]elcial</b>. The latter is well documented as a name at Tarquinia in the 4th and 3rd century B.C.,
ETP 15,Attic skyphos (ceramic),SE 69 (2003) REE 26 (tav. XXVI),Daniele Maras,Prohibitions,Pyrgi,-500,-450,[cav]aθas mi seχis ein men[p]e kape mi nunax,,
ETP 16,vase (ceramic),SE 69 (2003) REE 27 (tav. XXVI),Daniele Maras,Religious Texts,Pyrgi,-500,-450,mi χavexx,The final portion of the inscription could read either <b>χaves</b> or <b>χavexs</b>.,
ETP 17,Attic kylix (ceramic),SE 69 (2003) REE 28 (tav. XXVI),Daniele Maras,Religious Texts,Pyrgi,-500,-450,mi cavaθa[s],,
ETP 18,fragment of amphora (ceramic),SE 69 (2003) REE 24 (tav. XXV),Daniele Maras,Religious Texts,Pyrgi,-500,-450,σur[ - - - ],The inscription was written in dextroverse direction.,
ETP 19,cup (ceramic),SE 69 (2003) REE 25 (tav. XXVI),Daniele Maras,Religious Texts,Pyrgi,-500,-450,arφial ·,The inscription was painted in circular ductus on the bottom of a bowl belonging to the <i>Spurinas</i> type.,
ETP 20,Attic kylix (ceramic),SE 69 (2003) REE 29 (tav. XXVII),Giovanni Colonna,Dedications,Pyrgi,-500,-450,"etun hercles carucra
    II","Presumably, the verb <b>turce</b> is to be supplied.",
ETP 21,Attic amphora (ceramic),SE 69 (2003) REE 56 (tav. XXXII),Dominique Briquel,Proprietary Texts,Unknown (South),-525,-500,aranθ pecenas,,
ETP 22,Attic oinochoe (ceramic),SE 69 (2003) REE 30 (tav. XXVII),Daniele Maras,Other/Unclear Texts,Pyrgi,-450,-450,zilc,"According to the editor, the letter following gamma could be <i>lambda</i> or <i>iota</i>. Restoration of <i>iota</i> yields a locative case form <b>zilci</b>.",
ETP 23,Attic kylix (ceramic),SE 69 (2003) REE 31 (tav. XXVII),Daniele Maras,Religious Texts,Pyrgi,-500,-400,cavaθas,,
ETP 24,Attic skyphos (ceramic),SE 69 (2003) REE 32 (tav. XXVII),Daniele Maras,Other/Unclear Texts,Pyrgi,-450,-400,"inθs
    me",Fragment of Attic skyphos.,
ETP 25,fragment of cup (ceramic),SE 69 (2003) REE 33 (tav. XXVII),Daniele Maras,Other/Unclear Texts,Pyrgi,-450,-400,ricin,It's possible that the inscription is to be restored as <b>vestricina</b>. This gentilicium is found in other inscriptions from this area.,
ETP 26,fragment of olla (impasto),SE 69 (2003) REE 34 (tav. XXVIII),Daniele Maras,Religious Texts,Pyrgi,-450,-400,mi cavuθas,,
ETP 27,lamina (lead),SE 69 (2003) REE 55 (tav. XXXIb),Giovanni Colonna - Francesco di Mario,Other/Unclear Texts,Latium (Ardea),-480,50,"vel uθras
	mlaχ",The final vertical stroke in line 1 is most likely an error.,
ETP 28,pyxis (bucchero),SE 64 (2001) 201-212 (tav. XXXIII-XXXIV),Larissa Bonfante - Rex Wallace,Proprietary Texts,Unknown,-625,-600,mi sunθeruza spurias mlakas,The inscription was incised around the lip of the pyxis.,"<ul><li>
Larissa Bonfante - Rex Wallace. 2001. An Etruscan pyxis named <i>sunθeruza</i>. <i>SE</i> 64.201-212.</li></ul>
<li>Giuliano Bonfante - Larissa Bonfante. 2002. The Etruscan Language: An Introduction, pp. 137-38, no. 10, fig. 16. 2nd edition. Manchester: Manchester University Press. </li>
<li>Rex Wallace. 2008. Zikh Rasna. A Manual of the Etruscan Language and Inscriptions, pp. 159-60. Ann Arbor: Beech Stave Press. 
</li>"
ETP 29,Attic kylix (ceramic),ZPE 111 (1996) 291-294 (tav. IX),Rex Wallace,Dedications,Unknown,-500,-450,[ecn . tur]ce . cavi . cr[ai]culi . hercle.s.,"The first inscription was incised on the bottom of the foot of the kylix along the outer portion of the rim. This inscription belongs to the archaic period and thus sometime shortly after production of the <i>kylix</i>. The second inscription, which is chronologically later and dates to the recent Etruscan period, was incised inside of and parallel to the first inscription. This inscription appears to have been added after the <i>kylix</i> was repaired because of damage to the foot of the vessel.","<ol>
<li>Heurgon, J. 1989. Graffite etrusques au J. Paul Getty Museum. <i>Greek Vases in the J. Paul Getty Museum</i> 4.181-186.</li>
<li>Martelli, M. 1991. Dedica Ceretana a Hercle. <i>AC</i> 42.613-621.</li>
<li>Wallace, R. 1996. Etruscan Inscriptions on an Attic Kylix in the J. Paul Getty Museum: Addenda et Corrigenda. <i>ZPE</i> 111.291-294 (tav. IX).</li>
</ol>"
ETP 30,Attic olpe (ceramic),SE 69 (2003) REE 57 (tav. XXXII),Serena Privitera,Other/Unclear Texts,Unknown,-510,-490,tul,The inscription was incised on the bottom of the foot of the vase. A Greek trademark <b>de</b> is also incised there.,
ETP 31,mirror (bronze),SE 69 (2003) REE 58,Dominique Briquel,Didaskalia,Unknown,-480,50,alθe melacre φurθ,"Four figures incised on the mirror represent the return of Meleager after the hunt for the boar of Calydon.

<b>Alθe</b> is perhaps an abbreviation for <i>Alθea</i>, the mother of Meleager. <b>φurθ</b> is an abbreviation that refers to the grandson of Meleager.  The editor recommends that it be completed as <i>φurθun</i>.",
ETP 32,cinerary urn (ceramic),SE 69 (2003) REE 60 (tav. XXXII),Dominique Briquel,Funerary Texts,Unknown,-480,50,ar . venate . venun[ias],The inscription was painted in black letters on the cask of the urn. The morphology of the urn points to Chiusi as the place of origin.,
ETP 33,cinerary urn (ceramic),SE 69 (2003) REE 61 (tav. XXXII),Dominique Briquel - Laurent Hugot,Funerary Texts,Unknown,-480,50,[θa]nia [ - - - ] lat[inial],"The inscription, of which only traces remain, was painted along the upper border of the cask. The reading suggested by the editors is possible, but speculative.",
ETP 34,cover of cinerary urn (sandstone),SE 63 (1999) REE 1 (tav. XXII),Margherita Scarpellini,Funerary Texts,Ager Cortonensis (Castiglion Fiorentino),-300,-200,vêl : têtn[ie : ] vêlχe[s],The letter <b>ê</b> with diacritic represents an <i>epsilon</i> that is written retrograde with respect to the direction of writing.,
ETP 35,plate (bucchero),SE 63 (1999) REE 2 (tav. XXII),Margherita Scarpellini,Proprietary Texts,Ager Cortonensis (Castiglion Fiorentino),-600,-500,mi θanuχvilus,,
ETP 36,fragment of small olla (ceramic),SE 63 (1999) REE 3 (tav. XXII),Margherita Scarpellini,Proprietary Texts,Ager Cortonensis (Castiglion Fiorentino),-300,-200,mi za[ - - - ],The text was painted in black.,
ETP 37,fragment of cup (ceramic),SE 63 (1999) REE 5 (tav. XXIII),Margherita Scarpellini,Proprietary Texts,Ager Cortonensis (Castiglion Fiorentino),-300,-300,mi aves,,
ETP 38,fragment of plate (ceramic),SE 63 (1999) REE 6 (tav. XXIII),Margherita Scarpellini,Proprietary Texts,Ager Cortonensis (Castiglion Fiorentino),-250,-200,veθalus,,
ETP 39,cup (ceramic),SE 63 (1999) REE 4 (tav. XXII),Margherita Scarpellini,Proprietary Texts,Ager Cortonensis (Castiglion Fiorentino),-300,-300,mi a,,
ETP 40,cinerary urn,SE 63 (1999) REE 7 (tav. XXIII),Giulio Paolucci,Abecedaria,Ager Clusinus (Chiaciano Terme),-500,-500,a e v z h θ,The text was incised in the upper lefthand portion of the front of the cask.,
ETP 41,cippus (sandstone),SE 63 (1999) REE 11 (tav. XXIII),Giovanni Colonna,Funerary Texts,Clusium,-700,-480,velχe : [ - - - ],Punctuation is in the form of three puncts aligned vertically.,
ETP 42,circular slab (stone),SE 63 (1999) REE 8 (tav. XXIII),Giulio Paolucci,Abecedaria,Ager Clusinus (Chiaciano Terme),-520,-500,a c e v z h,The abecedarium was incised in dextrograde ductus.,
ETP 43,cippus (stone),SE 63 (1999) REE 9 (tav. XXIV),Giulio Paolucci,Funerary Texts,Ager Clusinus (Chiaciano Terme),-550,-500,mi lauχumeσa katilas,The inscription was incised in spiraliform ductus.,
ETP 44,cinerary urn (travertine),SE 63 (1999) REE 10 (tav. XXIII),Ole Hjordt-Vetlesen,Funerary Texts,Ager Clusinus (Sarteano),-100,-100,l · arntni · vmranal,Note the spelling of the vowel /u/ by means of <i>wau</i>.,
ETP 45,tablet (bronze),SE 63 (1999) REE 12 (tav. XXV),Mario Cygielman,Other/Unclear Texts,Vetulonia,-200,-200,"[ - - - ]pin[ - - - ]
[ - - - ]σval[ - - - ]
    [ - - ]a · nap[ - - - ]
    [ - - - ]rins[ - - -]","The tablet was found a short distance from a tomb, so it's possible that the text is a <i>lex sepulcralis</i>.

Line 1 is separated from lines 2-4 by spacing, a feature that suggests that line 2 was the beginning of a new section.","<ol>
<li>Angeletti, Maristella Pandolfini. 2002. Le tavole di bronzo in Etruria. In <i>La Tabula Cortonensis e il suo contesto storico-archeologico. Atti dell'Incontro di studio (22 giugno 2001), pp. 53-64. Roma: Consiglio Nazionale delle Ricerche.</i>
</li>
</ol>"
ETP 46,sarcophagus (peperino),SE (1999) REE 13 (tav. XXV),Giovanni Colonna,Funerary Texts,Tarquinia,-300,-300,[ - - - ]an : ecnatia[l - - - ],The editor restores the beginning of fragment as <b>[cl]an</b> 'son'.,
ETP 47,wall of tomb (stone),SE 63 (1999) REE 14 (tav. XXV),Massimo Morandi,Funerary Texts,Tarquinia,-700,-480,petui [:] nanisiei,The form of the punctuation between the first name and the last is uncertain. This inscription was incised in the same tomb chamber as ETP 48.,
ETP 48,wall of tomb (stone),SE 63 (1999) REE 15 (tav. XXV),Massimo Morandi,Funerary Texts,Tarquinia,-700,-480,velχasnas,This inscription was incised in the same tomb chamber as ETP 47.,
ETP 49,wall of tomb (stone),SE 63 (1999) REE 16 (tav. XXV),Massimo Morandi,Funerary Texts,Tarquinia,-480,50,"vel[ - - - ]
    LI","The text was painted in black on the wall of chamber 1 in the Tomba dell'Orco.

The editor suggests that the name in line 1 may be restored as <b>vel[θur]</b> or as <b>vel[χa]</b>. The number <b>LI</b> refers to the age of the deceased.",
ETP 50,sarcophagus (nenfro),SE 63 (1999) REE 17 (tav.XXV),Massimo Morandi,Funerary Texts,Tarquinia,-330,-300,[ - - - ] arnθal : seχ [:] atial,,
ETP 51,sarcophagus (nenfro),SE 63 (1999) REE 18 (tav.XXIX),Massimo Morandi,Funerary Texts,Tarquinia,-340,-330,"camnas vel
    larθal",,
ETP 52,cippus (stone),SE 63 (1999) REE 19 (tav. XXVI),Massimo Morandi,Funerary Texts,Tarquinia,-250,-250,"sepres · a · a · VI
    svalce · avil · XL",,
ETP 53,cippus (nenfro),SE 63 (1999) REE 20 (tav. XXVI),Massimo Morandi,Funerary Texts,Tarquinia,-480,50,"velχi θan
    a","The final letter of the first name of the deceased, which was partially damaged by a break in the stone, appears in line 2.",
ETP 54,bowl (ceramic),SE 65-68 (2002) REE 1 (tav. XXX),Francesca Piva,Proprietary Texts,Venetia (Adria),-150,-150,me,The editor thinks that <b>me</b> may be an abbreviation for the name <b>meis</b>.,
ETP 55,bowl (ceramic),SE 65-68 (2002) REE 4,Francesca Piva,Proprietary Texts,Venetia (Adria),-150,-100,uniθiu,,
ETP 56,plate (ceramic),SE 65-68 (2002) REE 3 (tav. XXX),Francesca Piva,Proprietary Texts,Venetia (Adria),-300,-250,tutis,The final letter is a three-bar <i>sigma</i>.,
ETP 57,bowl (ceramic),SE 65-68 (2002) REE 2 (tav. XXX),Francesca Piva,Proprietary Texts,Venetia (Adria),-300,-300,tite,,
ETP 58,cippus (nenfro),SE 63 (1999) REE 21 (tav. XXVI),Massimo Morandi,Funerary Texts,Tarquinia,-480,50,nan[ - - - ],,
ETP 59,cippus (nenfro),SE 63 (1999) REE 22 (tav. XXVI),Massimo Morandi,Funerary Texts,Tarquinia,-250,-250,"curs[ni]
    θana",,
ETP 60,stone cippus,SE 63 (1999) REE 23 (tav. XXVI),,Construction Texts,Tarquinia,-300,-200,"[v]elθri[es · ] a 
    [a]rce · ta[m]er 
    [a · ] ril · L",,
ETP 61,block (stone),SE 63 (1999) REE 24 (tav. XXVI),Massimo Morandi,Other/Unclear Texts,Tarquinia,-500,-400,hursu[mnas - - - ],"The editor restores the missing portion of the family name based on <b>ursumnas</b>, which is attested at Tarquinia, though without word-initial <b>h</b>.

It is possible that this inscription was incised on a stone block that formed the architrave of a chamber tomb. However, the stone was actually discovered in an urban context and this does not jibe with a funereal function for the text.",
ETP 62,fragment of cippus (stone),SE 63 (1999) REE 25 (tav. XXVI),Massimo Morandi,Funerary Texts,Tarquinia,-500,-500,[ - - - ]lus · cles[ - - - ],"The stone was squared off and placed in the wall of a convent. Possible restorations for the first word are <b>[vene]lus</b> and <b>[θanaχvi]lus</b>, both genitive singular forms. How <b>cles[ - -  - ]</b> is to be restored is unclear.",
ETP 63,wall of tomb (stone),SE 63 (1999) REE 26,Massimo Morandi,Funerary Texts,Tarquinia,-480,50,ramθa · camnai,,
ETP 64,wall of tomb (stone),SE 63 (1999) REE 27,Massimo Morandi,Funerary Texts,Tarquinia,-480,50,vel : vestrcnie,,
ETP 65,plate (impasto),SE 63 (1999) REE 28 (tav. XXVII),Giovanni Colonna,Proprietary Texts,Caere,-625,-600,hetaθaσa,The inscription was incised in dextroverse direction. The <i>sigma</i> spelling the palatal sibilant /š/ has four bars.,
ETP 66,cup (ceramic),SE 63 (1999) REE 30 (tav. XXVII),Pietro Tamburini,Proprietary Texts,Ager Caeretanus (San Giuliano),-600,-550,zureθ,,
ETP 67,cup (ceramic),SE 63 (1999) REE 31 (tav. XXVII),Barbara Grassi,Proprietary Texts,Campania (Capua),-550,-500,mi laivuzas,,
ETP 68,fragment of cup (bucchero),SE 63 (1999) REE 32 (tav. XXVII),Valentina Cosentini,Proprietary Texts,Campania (Capua),-530,-470,mi larices,,
ETP 69,amphora (ceramic),SE 63 (1999) REE 33 (tav. XXVII),Giovanni Colonna,Religious Texts,Campania (Pontecagnano),-550,-500,manθ,,
ETP 70,olpe (bronze),SE 63 (1999) REE 34 (tav. XXVIII),Maurizio Sannibale,Proprietary Texts,Campania (unknown),-475,-450,m[i c]naives tinθuruσla,,
ETP 71,cista (bronze),SE 63 (1999) REE 35 (tav. XXVIII),Alessandro Naso,Funerary Texts,Unknown,-300,-300,σu[θina],,
ETP 72,bowl (ceramic),SE 63 (1999) REE 36 (tav. XXVIII),Giovanni Colonna,Proprietary Texts,Unknown S,-500,-400,larθ velarnies,,
ETP 73,bowl (bucchero),SE 63 (1999) REE 37 (tav. XXVIII),Dominique Briquel,Proprietary Texts,Unknown (South),-500,-500,qurianas,,
ETP 74,tablet (bronze),2000. Tabula Cortonensis (tav. 1-35),Luciano Agostiniani - Francesco Nicosia,Legal Texts,Cortona,-300,-200,"Side A:
 e{.}t · pêtruis σcê [<i>vacat</i>] vês êliunts · v<br/>
 inac · restmc · cen [<i>vacat</i>] u · tênθur sar · cuσ<br/>
 uθuras · lariσaliσvla · peσc · σpante · tênθur ·<br/>
 sa · sran · sarc · clθil · têrσna · θui · σpanθi · ml<br/>
 esiêθic · rasna ΣIII&amp;gt; [<i>vacat</i>] inni · peσ · pêtrus · pav<br/>
 ac · traulac · tiur · tênθurc · tênθa · zacinat · pr<br/>
 iniserac · zal // cs · êsis · vêrê cuσuθursum · p<br/>
 eσ · pêtrusta · σceva [s] // nuθantur · lart · petr<br/>
 uni · arnt · pini · lart · vipi · luσce · lariσ · σalini · v<br/>
 êtnal · lart · vêlara · larθaliσa · lart · vêlara<br/>
 auleσa · vel · pumpu · pruciu · aule · cêlatina · σê<br/>
 tmnal · arnza · fêlσni · vêlθinal · vêl · luiσna<br/>
 lusce · vêl · uσlna · nufreσa · laru · σlanzu · larz<br/>
 a lartle vêl aves arnt · pêtru · raufe // êpru<br/>
 s · ame · velχe · cuσu lariσal · cleniarc · lariσ<br/>
 cuσu · lariσaliσa larizac · clan · lariσal · pêtr<br/>
 u · σcêvas · arntlei · pêtrus · puia [<i>vacat</i>]<br/>
 cên · zic · ziχuχe · σparzêstis · sazleis · in<br/>
 θuχti · cuσuθuras · σuθiu · ame · tal · σuθive<br/>
 nas · ratm · θuχt . cesu · tltel · têi · σians · σpa<br/>
 rzête · θui · σalt · zic · fratuce · cuσuθurus · la<br/>
 riσaliσvla · pêtrusc · σcêvas · peσs · tarχian<br/>
 es // cnl · nuθe · malec · lart · cucrina · lauσiσa ·<br/>
 zilaθ · meχl · rasnal · l[a]riσ · cêlatina lau<br/> 
 σa [cl]anc · arnt · luσcni · [a]rnθal · clanc · larz<br/>
 a · lart · turnma · σalina[l - - - a]<br/>
 pnal · cleniarc · velχe [ - - - papal]<br/>
 serc · vêlχe · cuσu · aule[σa - - - ]<br/>
 aninalc · lariσ · fuln[i - - - ]<br/>
 rc · lart · pêtce · uσlnal [ · - - - ]<br/>
 inaθur · têcσinal · vel[ - - - ]<br/>
 us · lariσc · cuσu · uσlna[l - - - ]<br/>


Side B:

 aule σalini [<i>vacat</i>] cuσual [<i>vacat</i>]<br/>
 zilci · larθal · c [<i>vacat</i>] uσus · titlnal<br/>
 lariσalc · σalinis auleσla · celtinêitiσ<br/>
 s · tarσminass · σparza · in · θuχt cesu<br/>
 ratm · σuθiu · σuθiuσvê · velχes · cuσus a<br/>
 uleσla · velθurus · titlnis · velθuruσla . <br/>
 larθalc · cêlatinas apnal · lariσalc cê<br/>
 latinas · titlnal<br/>","We follow the text as published in Maggiani 2001, pp. 95-96. There are 7 sections. These are indicated in four cases (Side A, lines 7, 8, 14, and 23) by special signs, which we transliterate as <b>//</b>. In two instances ample spacing between words (Side A, line 17 and Side B, line 1) signals a new section. Missing portions of text are restored according to suggestions offered by Agostiniani &amp;amp; Nicosia 2000.","<ol>
<li>Agostiniani, Luciano &amp;amp; Francesco Nicosia. 2000. <i>Tabula Cortonensis</i>. Roma: ""L'Erma"" di Bretschneider.</li>
<li>De Simone, C. 1998 [2000]. La Tabula Cortonensis: Tra linguistica e storia. <i>Annali della Scuola Normale Superiore di Pisa.  Classe di lettere e filosofia</i>  3.1-122.</li>

<li> —. 2001-2002. Il testo etrusco della Tabula Cortonensis: un primo bilancio critico. <i>Ocnus</i> 9-10.69-111.</li>

<li> —. 2002. Su due termini della Tabula Cortonensis. <i> Incontri Linguistici</i> 25.77-85.</li>

<li>Eichner, Heiner. 2001. Etruskisch <i>-svla</i> auf der Bronze von Cortona. In F. Cavoto, ed., <i>The Complete Linguist. A collection of papers in honor of Alexis Manaster Ramer</i>, pp. 141-152. Münich. </li>

<li> Facchetti, Giulio. 2000. <i> Frammenti di diritto privato etrusco</i>. Firenze: Leo S. Olschki.</li>

<li>Maggiani, Adriano. 2001. Dagli  archivi dei Cusu.  Considerazioni sulla tavola bronzea di Cortona. <i>Rivista di Archeologia</i> 25.94-114.</li>

<li>Pandolfini, Maristella &amp;amp; Adriano Maggiani, eds. 2002. <i>La Tabula Cortonensis e il suo contesto storico-archaeologico.  Atti dell’Incontro di studio, 22 giugno 2001</i>. Rome: Consiglio Nazionale delle Ricerche.</li>
<li>Rix, Helmut. 2000. Osservazioni preliminari ad una interpretazione dell’aes cortonense. <i>Incontri linguistici</i> 23.11-31.</li>
<li>Wylin, Koen. 2002. Forme verbali nella Tabula Cortonensis. <i>Studi Etruschi</i> 65-68.215-223.</li>
<li>Zamboni, A. 2002. Sigla del quattuorvirato nella tavola di Cortona. <i>Athenaeum</i> 90.431-441.</li>
</ol>

In the book of papers edited by Pandolfini &amp;amp; Maggiani (2002), the most important papers dealing with the interpretation of the Tabula are: 

<ul>
<li>Facchetti, Giulio. 2002. La Tabula Cortonensis come documento giuridico. In Pandolfini, Maristella &amp;amp; Adriano Maggiani, eds. 2002. <i>La Tabula Cortonensis e il suo contesto storico-archaeologico.  Atti dell’Incontro di studio, 22 giugno 2001</i>, pp.  87-99. Rome: Consiglio Nazionale delle Ricerche.</li>

<li>Maggiani, Adriano. 2002. Riflessioni sulla Tavola di Cortona. Pandolfini, Maristella &amp;amp; Adriano Maggiani, eds. 2002. <i>La Tabula Cortonensis e il suo contesto storico-archaeologico.  Atti dell’Incontro di studio, 22 giugno 2001</i>, pp. 65-75. Rome: Consiglio Nazionale delle Ricerche.</li>

<li>Rix, Helmut. 2002. La seconda metà del nuovo testo di Cortona. In Pandolfini, Maristella &amp;amp; Adriano Maggiani, eds. 2002. <i>La Tabula Cortonensis e il suo contesto storico-archaeologico.  Atti dell’Incontro di studio, 22 giugno 2001</i>, pp. 77-86. Rome: Consiglio Nazionale delle Ricerche.</li>
</ul>"
ETP 75,wall of tomb (stone),SE 63 (1999) REE 41 (tav. XXX),Massimo Morandi,Funerary Texts,Tarquinia,-350,-300,"[ - - - ]n[ . . . . ]a[ . . . ]a[ . ]ce[ . . . . . ]
    [ - - - ] tence [:] zi[l]cti [ - - - ]
    [ - - - ]rac [:] ravlaθ : acn[anas - - - ]
[ - - - ]",The funerary inscription is in the form of an elogium.,"<ol>
<li>Cavagnaro Vanoni, L. 1996. <i>Tombe tarquiniesi di eta ellenistica</i>. Roma.</li>
</ol>

For discussion of the inscriptions see Appendix II by M. Pandolfini Angeletti, pp. 371-374."
ETP 76,wall of tomb (stone),SE 63 (1999) REE 42 (tav. XXX),Massimo Morandi,Funerary Texts,Tarquinia,-350,-300,"[ . . . . . . . . : ] a[r]n[θ : ] mulaθ [ : ] arnθal : cla[n]
    [ . . . . . . ]c : a[ti]a[l : ] zilc[ti :] θelmizas [ : ] s[p]ural : fasci
    [ . . . . . . . . : ] mulauc [ : ] ten[ce : ] avil : θu [ : c]ealc
    [ - - - ]","The text, which details the political career of the deceased (<i>cursus honorum</i>), is painted in black over an earlier inscription that it obliterates. 


Bibliography:
<ol>
<li>Cavagnaro Vanoni, L. 1996. Tombe tarquiniesi di eta ellenistica. Roma.</li>
</ol>

For discussion of the inscriptions see Appendix II by M. Pandolfini Angeletti, pp. 371-374.",
ETP 77,wall of tomb (stone),SE 63 (1999) REE 43,Massimo Morandi,Funerary Texts,Tarquinia,-350,-300,"[ - - - ]
    xeri : spu[reri - - - ]
    [ - - - ]cs[ - - - ]",This text was painted in black. It seems likely that this text presented the <i>cursus honorum</i> of the deceased.,
ETP 78,cippus (stone),SE 63 (1999) REE 44,Massimo Morandi,Funerary Texts,Tarquinia,-300,-100,"alσinas
    xlx XX",,
ETP 79,small jug (ceramic),SE 63 (1999) REE 48,Daniele Maras,Proprietary Texts,Veii,-300,-200,mi tiu,,
ETP 80,cup (ceramic),SE 63 (1999) REE 49,Rex Wallace,Proprietary Texts,"Campania (Pompeii),",-9999,9999,pleniiunas,,"<ul><li>
Blanck, Horst. 1996. <i>Studi Etruschi</i> 61, REE 5.</li></ul>"
ETP 81,oenochoe (ceramic),SE 63 (1999) REE 50,Dominique Briquel,Other/Unclear Texts,Unknown (Narce ?),-550,-520,mi cipaχ,,
ETP 82,mirror (bronze),SE 63 (1999) REE 53,Adriano Maggiani,Didaskalia,Unknown S,-350,-300,zipunun prucnalu θalna,,"<ol>
<li>Bonfante, Larissa. 1997. Corpus Speculorum Etruscorum, USA 3: New York, The Metropolitan Museum of Art. Roma: ""L'Erma"" di Bretschneider.</li>
</ol>"
ETP 83,oenochoe (ceramic),Etruscan News 3 (2003) 7 &amp; 10,Dominique Briquel,Proprietary Texts,Unknown S,-450,-400,mi arnθial tetnies σuθiθi velclθi,"Although the find spot of this inscription is unknown, there can be no doubt that the provenance is Vulci. The final word in the text is the locative form of the name of the city, <b>velclθi</b> = 'in Vulci'.","<ul>
<li>
Briquel, Dominique. 2003. An inscribed Etruscan <i>Schnabelkanne</i> in the Museum of Montpellier (France). 
<i>Etruscan News</i> 3.7 &amp;amp; 10.</li>
<li>Colonna, Giovanni. 2004. <i>SE</i> 70, REE 89, 357.</li>
</ul>"
